OBJECTID,Facility Status,Facility Name,CAD Name,AKA,Facility Type,Unit (Firescope three letter identifier),CALFIRE Unit,County,Owner,Funding,Staffing,Address,City,ZIP,Phone (xxx-xxx-xxxx),Latitude,Longitude,GlobalID,x,y
13,Active,Big Hill,ENF Tone 4,XED CMD Tone 4,COM,AEU,AEU,El Dorado,DISTRICT OTHER,,,2500 Big Hill Lookout Rd,Pollock Pines,95726,,38.8426099046431,-120.407539305042,08270fb1-a439-4884-967d-197e92cc8157,-35337.6471000016,91921.7995999996
14,Active,CAL FIRE Training Center,,,TC,AEU,AEU,Amador,STATE,,,4501 State Highway 104,Ione,95640,2092749375,38.3650161672202,-120.942250529869,af60fd06-3226-4ff2-afc5-43e872e8ad83,-82227.7221000008,39165.8089000005
15,Active,Cameron Park Fire Departemnt FS Station 89,Cameron Park FS 89,Sta 89,FSA,AEU,AEU,El Dorado,FIRE DISTRICT,A,P,3200 Country Club Drive,Cameron Park,95682,530-677-6190,38.6603499140848,-120.977258215042,274ee423-f71a-4cd2-b1ba-f6ef8a40983a,-84945.4323999994,72024.8033000007
16,Active,Cameron Park Fire Department FS Station 88,Cameron Park FS 88,Sta 88,FSA,AEU,AEU,El Dorado,FIRE DISTRICT,A,P,2961 Alhambra Drive,Cameron Park,95682,530-672-7350,38.6890110052722,-120.990356916943,9b307060-d6f5-489e-a57e-95f9b5b3853d,-86050.6809,75222.2920999993
17,Active,Camino FS,AEU Camino FS,Sta 20,FSB,AEU,AEU,El Dorado,STATE,B,P,2840 Mount Danaher Road,Camino,95709,530-647-5227,38.744689107507,-120.668041703658,71f9315a-0933-451b-abd1-c7c92b2df436,-58002.1453999989,81166.0792999994
18,Active,CNRA HQ,No CAD name Entered,,ADM,CDF,AEU,Sacramento,STATE,B,P,715 P St,Sacramento,95818,,38.5666432510205,-121.493827697196,c4593b17-172e-4352-8383-3d59cb3462cc,-130482.138500001,63146.2619000003
19,Active,Dew Drop FS,AEU Dew Drop FS,Sta 10 ,FSB,AEU,AEU,Amador,STATE,B,P,29300 Dew Drop Bypass,Pioneer,95666,209-295-7735,38.5154992254083,-120.480529183305,7c048c31-599d-4f0f-b5dd-547415a55579,-41850.8216999993,55591.7339999992
20,Active,El Dorado FS,AEU El Dorado FS,Sta 43,FSB,AEU,AEU,El Dorado,STATE,B,P,5660 Mother Lode Drive,Placerville,95667,530-622-3858,38.6798707656794,-120.869830756507,6c2a0541-f742-47fb-9dc3-522b00a1fbbc,-75587.9723999985,74103.6098999996
21,Active,Garden Valley FS,AEU Garden Valley FS,Sta 50,FSB,AEU,AEU,El Dorado,STATE,B,P,"5061 Marshall Rd, P.O. Box 12",Garden Valley,95633,530-333-4551,38.8495336590313,-120.861737666384,ea608202-a115-443d-aa1e-18175f4dd8ca,-74713.2976000011,92954.9741999991
22,Active,Growlersburg CC,AEU Growlersburg CC,,CC,AEU,AEU,El Dorado,STATE,B,P,5440 Longview Lane,Georgetown,95634,530-333-4385,38.9042940377368,-120.870182140158,c99e60ea-02d4-45d8-947f-aa052116128e,-75389.5555000007,99047.9925999995
23,Active,Hawkins,ENF T-9,,COM,AEU,AEU,Alpine,,,,,,,,38.7386320155395,-119.872495666897,8f36f606-1a73-4ea9-a7ad-eeb88fd19d9a,11071.4475999996,80295.9058999997
24,Active,Hotchkiss,AEU Local T-3,XED CMD Tone 9,COM,AEU,AEU,El Dorado,,,,,,,,38.9134853842069,-120.814140660885,30b85d8f-9818-4e94-b15d-3deb45f92b09,-70525.6673999988,100026.4299
25,Active,Ione,AEU Local T-8,AEU Local T-8/Amador Command T14,COM,AEU,AEU,Amador,,,,,,,,38.370262302436,-120.926079877179,11a1cc9e-53e5-4b4a-afba-7cf7aafbd0c4,-80812.0152999982,39735.6297999993
26,Active,Leek Spring,ENF Tone 2,ENF T2 Amador Command T13,COM,AEU,AEU,El Dorado,,,,,,,,38.6290445942165,-120.277131880257,8d5133a2-a3a3-42c9-9556-6aa426ab23a3,-24099.4761999995,68142.4304000009
27,Active,Logtown,El Dorado CMD T-15,XED T-15,COM,AEU,AEU,El Dorado,COUNTY,,,6109 Quartz Dr,El Dorado,95623,,38.6353440851584,-120.85569072822,3c62018f-548c-4c9f-9ab5-5e5aa0b4b9ac,-74403.9129999988,69143.2078000009
28,Active,McClellan Reload Base,McClellan,,AAB,AEU,AEU,Sacramento,STATE,B,P,5741 Price Ave,McClellan,,,38.6685741184293,-121.398014295954,3f1c5af8-eb1a-4096-abbf-1ff0c1f2c9c9,-121502.7445,73397.0092999991
29,Active,Mount Danaher LO,AEU Mount Danaher LO,,LO,AEU,AEU,El Dorado,STATE,B,P,2840 Mt. Danaher Rd.,Camino,95709,530-647-5223,38.7443262160591,-120.667803780654,7c68b822-dd53-4ee5-a4e4-13e016d44e9c,-57981.7723999992,81125.5979999993
30,Active,Mount Zion LO,No CAD name Entered,,LO,AEU,AEU,Amador,STATE,B,C,20200 Mount Zion Road,Pine Grove,95665,,38.3898339919036,-120.652297187679,0244f87f-e6f3-4a35-9c2b-9b59a3f16b50,-56906.5496999994,41712.3472000007
31,Active,Mt Danaher,AEU Local Tone 1,,COM,AEU,AEU,El Dorado,STATE,,,2840 Mount Danaher Rd,Camino,95709,,38.744737197098,-120.667533471792,12981bc6-348d-452b-a2bf-ec1fe109b52d,-57957.9816999994,81171.1137000006
32,Active,Mt. Reba,ENF T-7,,COM,AEU,AEU,Alpine,,,,,,,,38.493250603441,-120.045528575918,c98078bc-ea65-4c79-82f3-03159fd9a6b3,-3966.43360000104,53013.4686999992
33,Active,Mt. Zion,No CAD name Entered,,COM,AEU,AEU,Amador,STATE,,,20200 Mount Zion Rd,Pine Grove,95665,,38.3893472266844,-120.652172877101,dbb6890a-5e63-4037-b672-1b1faee1d6c9,-56896.0771999992,41658.1638999991
34,Active,Pardee,Amador CMD T-12,,COM,AEU,AEU,Amador,,,,4900 Stony Creek Rd,Jackson,95642,,38.2818480103134,-120.863677295862,47ab1020-1b1c-4e9b-ae54-ed186eb87e34,-75456.300999999,29856.2048000004
35,Active,Pilot Hill FS,AEU Pilot Hill FS,Sta 70 ,FSB,AEU,AEU,El Dorado,STATE,B,P,4731 Pedro Hill Rd,Pilot Hill,95664,530-885-5812,38.8321935629056,-121.009723304462,7a5cc345-adc5-4d5d-8df0-7b9f2c7c6043,-87563.8394000009,91154.3516000006
36,Active,Pilot Peak COM/LO,AEU Local Tone 5,XED CMD Tone 5,COM/LO,AEU,AEU,El Dorado,STATE,B,C,Pilot Hill Road,Pilot Hill,95664,,38.8181623975442,-121.029935626543,df8e7514-5d86-45d0-bfba-1821d2ed7a30,-89333.5383000001,89613.7167000007
37,Active,Pine Grove CC,AEU Pine Grove YCC,,CC,AEU,AEU,Amador,STATE,B,P,13630 Aqueduct-Volcano Rd,Pine Grove,95665,209-296-7591,38.4115533115255,-120.639591979577,16782d48-8182-4b3b-a579-16df272245c6,-55781.8740000017,44119.1071000006
38,Active,Pine Grove FS,AEU Pine Grove FS,Sta 80,FSB,AEU,AEU,Amador,STATE,B,P,19597 Highway 88,Pine Grove ,95665,209-296-4435,38.4145793809114,-120.662896934227,0429b04b-ddf8-42d5-8549-e1aee50168a6,-57812.0260000005,44469.4441999998
39,Active,Pine Hill COM/LO,AEU Pine Hill COM/LO,XED CMD Tone 12,COM/LO,AEU,AEU,El Dorado,STATE,B,P,Pine Hill Road,Rescue,95672,,38.7196253972944,-120.990219334464,9041e146-dc9d-4f43-b996-05289f9f5d34,-86003.185899999,78624.9245999996
40,Decommissioned,Placerville Fire Center,PFC,Placerville Fire Center,FCFFC,AEU,AEU,El Dorado,COUNTY,,P,299 Fair Lane,Placerville,95667,,38.72681,-120.828015,eefe7838-1aa3-45bc-a336-d4ff4558c21b,-71904.4461999983,79286.4221999999
41,Active,Ponderosa Fire Center,,,,,AEU,El Dorado,PRIVATE,,,3421 Palmer Drive,Cameron Park,95682,,,,76ff8d50-d195-4401-b61b-36f425666234,-84267.0482000001,72248.8312999997
42,Active,Ponderosa Fire Center,,,FCFFC,,AEU,El Dorado,PRIVATE,,,3421 Palmer Drive,Cameron Park,95682,,,,4cd70f2e-fd45-405a-a9ae-ce11e5022f26,-84267.0654999986,72247.1403999999
43,Active,Ridgeview/EDH,AEU Local Tone 15,,COM,AEU,AEU,El Dorado,,,,1084 Via Treviso,El Dorado Hills,95762,,38.6611787795463,-121.090770243553,b8cc3096-f360-4150-a8db-b8df69521a19,-94810.6748000011,72224.5403000005
44,Active,River Pines FS,AEU River Pines FS,Sta 30,FSB,AEU,AEU,Amador,STATE,B,P,15035 Highway 16,River Pines,95675,209-245-6412,38.5462251823589,-120.738399386608,21e62704-b641-4481-b8ef-415683ce9954,-64282.5861000009,59151.4848999996
45,Decommissioned,Sacramento Administration,Sacramento Administration,,ADM,CDF,AEU,Sacramento,STATE,B,P,1416 9Th Street ,Sacramento,95814,916-653-5121,38.5757499999141,-121.497601999876,85f45774-23e1-4650-a5f3-2d1788f835fe,-130320.2883,63212.3954000007
46,Active,Sacramento Emergency Command Center,SAC ECC,Sacramento,ECC,CDF,AEU,Sacramento,STATE,B,P,3650 Schriever Ave,Mather,95655,916-845-8692,38.5700940360724,-121.304911897556,5606c483-4040-4318-91e3-3947a4118a81,-113561.183499999,62335.3381999992
47,Active,Sacramento Hill,AEU Local Tone 7,XED CMD Tone 10,COM,AEU,AEU,El Dorado,COUNTY,,,,,,,38.7248066803136,-120.810224660341,e2c6ec77-b9ac-4d45-b499-a5d30b790ef8,-70365.6702999994,79052.3880000003
48,Active,Sacramento Telecommunications,,Sacramento Telecom,ADM,CDF,AEU,Sacramento,STATE,B,P,1450 Expo Parkway Suite C,Sacramento,95815,916-263-1881,38.5971451626812,-121.455873410185,7ec6ceab-9b67-4532-a55c-1aeac716950a,-126651.729400001,65533.2200000007
49,Active,Sawmill BOQ,,,FSO,,AEU,El Dorado,STATE,,,1520 Sawmill Road,South Lake Tahoe,96150,,,,3c48657c-74c3-4a9f-8f3c-f83d124e71ff,-1414.25539999828,95266.4158999994
50,Active,Scouts Peak,ENF T-6,TMU T-3,COM,AEU,AEU,El Dorado,,,,,,,,38.8024509994567,-120.045759206428,229cdbd1-a91a-46a4-babd-e95f95acd51c,-3969.93760000169,87383.0911999997
51,Active,South Lake Tahoe FS,AEU South Lake Tahoe FS,Sta 5,FSB,AEU,AEU,El Dorado,COUNTY,B,P,1009 Boulder Mountain Court,South Lake Tahoe,96150,530-577-5749,38.8862946705125,-120.033318479774,4966d106-58b7-4db2-9d09-6e0ac035ee07,-2887.34079999849,96701.9145
52,Active,State Fire Marshal DSB,SFM,OSFM,SFM,CDF,AEU,Sacramento,STATE,B,P,"2251 Harvard Street, Suite 130",Sacramento,95815,916-568-3800,38.6081642922057,-121.435839756879,f5c350d5-33e9-4268-ac5a-0644d96a358b,-124891.634799998,66731.9455999993
53,Active,State Fire Marshal DSB,SFM,,SFM,CDF,AEU,Sacramento,STATE,B,P,715 P St,Sacramento,95814,916-568-3800,38.5751501260172,-121.499498020216,ac4afa33-3f3a-42c6-a51a-529adb48b52c,-130485.182399999,63147.7478999998
54,Decommissioned,State Fire Marshal PL,SFM,Pipeline Safety Division and CUPA Program,SFM,CDF,AEU,Sacramento,,,,"2180 Harvard, Suite 400",Sacramento,95815,916-263-6300,38.6060384456061,-121.434725851475,7c2239db-acd0-4eda-874a-00b07a96365c,-124797.192299999,66493.6191000007
55,Active,Statewide Training Program,,,ADM,,AEU,Amador,,,,11383 Prospect Dr,Martell,95642,,38.3729843232221,-120.802264837146,ba2fa5a1-d9ab-4f2f-8c1a-ec98e1361867,-70004.1939000003,39939.1464000009
56,Active,Statewide Training Program - Specialized Facility,,,TC,,AEU,Sacramento,,,,2860 Gateway Oaks Dr Ste 100,Sacramento,95833,,38.6221179937683,-121.519052424244,cad72ab1-24a2-4e19-a06c-bae63ac05be8,-132103.0156,68395.0136999991
57,Active,Sutter Hill FS,AEU Sutter Hill FS,Sta 60,FSB,AEU,AEU,Amador,STATE,B,P,11600 Hwy 49,Sutter Creek,95685,209-267-5215,38.3772123946918,-120.801535509559,ed13781f-1d6b-40ee-b780-f25977be249a,-69937.7138999999,40409.1730000004
58,Active,Tahoe Fire Center,,,FCCCC,AEU,AEU,El Dorado,STATE,B,P,1949 Apache Ave,South Lake Tahoe,96150,,38.856203,-120.011914,d001e70e-72ce-4791-8b28-3fc5c4004347,-1053.84629999846,93356.4179999996
59,Active,Union Hill,AEU Local Tone 4,XED CMD Tone 11,COM,AEU,AEU,El Dorado,STATE,,,7373 Twin Mountain Rd,Pollock Pines,95726,,38.7636071432913,-120.55384306499,029e1be9-ee6a-44b0-adb6-a19a17744919,-48074.7875000015,83204.9564999994
60,Active,Willow,El Dorado CMD T-14,EDC Tone 14,COM,AEU,AEU,El Dorado,COUNTY,,,,,,,38.6342468833689,-120.661742108881,5c74b9d3-a9eb-4bfc-8174-5b105f931351,-57540.8821999989,68886.2910999991
61,Active,5th Street FS 553,YUC 553,5th Street,FSA,BDU,BDU,San Bernardino,CITY,A,P,34259 Wildwood Canyon Rd,Yucaipa,92399,909-795-3048,34.015634664429,-117.057179304652,d4d1add8-10c2-4067-8055-ca71f97fa821,271775.490800001,-440214.4651
62,Active,Apple Valley FS,APV,334,FSB,BDU,BDU,San Bernardino,FIRE DISTRICT,B,P,21860 Tussing Ranch Road,Apple Valley,92308,760-247-3039,34.4429187089601,-117.185813761726,461f45bd-8a88-4492-a79e-c5a4781d3b64,258491.380199999,-393189.077
63,Active,Big Bear Valley FS,BBV,97,FSB,BDU,BDU,San Bernardino,FIRE DISTRICT,B,P,45360 Lucky Baldwin Ranch Rd.,Big Bear,92314,909-547-0160,34.2891483836311,-116.812162648508,12d0250c-af88-4931-8a9e-518c470bb220,293373.7938,-409156.2652
64,Active,Bishop FS,BDU Bishop FS,Owens Valley FFS.,FSB,BDU,BDU,Inyo,STATE,B,P,2784 S Round Valley Rd,Bishop,93514,760-387-2179,37.3935225966587,-118.548659745269,3b8f771d-50cc-4af1-8e07-d96c3e964a44,128307.797499999,-68256.7736000009
65,Active,Chino Hills FS,BDU Chino Hills FS,Prado,FSB,BDU,BDU,San Bernardino,STATE,B,P,14467 Central Ave,Chino,91710,909-597-6665,33.990245311404,-117.688189529915,80120aab-f7f1-457a-81f8-baa09748ad3c,213582.4494,-444644.8426
66,Active,Chino Institute for Women,BDU CIW CTC,,TC,BDU,BDU,San Bernardino,STATE,B,P,P.O. Box 2018,Chino,91708,909-597-1771,33.9495744401397,-117.633238172153,351ad820-a436-4b08-9785-a0e96dd1e763,218770.802900001,-449029.3319
67,Active,Crafton Hills FS 552,Yuc 552,Crafton Hills,FSA,BDU,BDU,San Bernardino,CITY,A,P,32664 Yucaipa Bl,Yucaipa,92399,909-797-2313,34.034004699939,-117.092319838859,b64079ef-6c2d-43a4-b48d-4e307e45d12c,268468.743700001,-438277.8509
68,Active,Crestline FS,CRF,Crestline FS,FSB,BDU,BDU,San Bernardino,STATE,B,,22317 Waters Drive,CedarPines Park,92322,909-338-6188,34.2480749579564,-117.315193058511,782b4025-7797-4b3b-8181-811cce38e973,247222.9309,-415145.5103
69,Active,Devore FS,BDU Devore FS,,FSB,BDU,BDU,San Bernardino,STATE,B,P,18365 Cajon Blvd,San Bernardino,92407,909-887-3630,34.2213242276301,-117.403821940288,4b8f2daf-d580-4fbf-9db6-e372172f08d3,239146.237599999,-418339.6677
70,Active,East Highland FS 542,HIG 542,East Highland,FSA,BDU,BDU,San Bernardino,CITY,A,P,29507 Baseline,Highland,92346,909-862-1760,34.1209306366212,-117.159717174612,f41691d6-7e79-407b-bd5d-b33bc8f2d999,261958.9584,-428827.9632
71,Active,Highland FS 541,HIG 541,Highland,FSA,BDU,BDU,San Bernardino,CITY,A,V,26974 Baseline,Highland,92346,909-862-3031,34.1214249773139,-117.216090099897,bed60c10-6c1f-4d2e-b0db-5235dc475620,256759.612300001,-428927.361
72,Active,Independence FS,BDU Independence FS,,FSB,BDU,BDU,Inyo,STATE,B,P,250 E. Park Street,Independence,93526,760-878-2258,36.7994059829501,-118.195346838866,58e67290-67a0-4f85-be08-a01c491d13f5,160796.222399998,-133748.173599999
73,Active,Lone Butte,,,COM,BDU,BDU,San Bernardino,STATE,,,,,,,35.6661405292728,-117.598214430113,0f0d4895-51a6-4519-9957-8ad6df4ee9b8,217180.7401,-258456.4594
74,Active,Lucerne Valley FS,BDU Lucerne Valley FS,,FSB,BDU,BDU,San Bernardino,STATE,B,P,"33271 Old Womans Springs Road,",Lucerne Valley,92356,760-248-7525,34.4438787593704,-116.937594400278,2b464d9e-2b2d-4f01-9f1b-bf3067279d1e,281281.1195,-392375.9604
75,Active,Mazourka Peak COM,BDU Mazourka Peak COM,"BDU3 Tone 12, CMD1 Tone 1",COM,BDU,BDU,Inyo,STATE,B,P,,Independence,,,36.9757731190843,-118.123427226935,a0b1af5d-e9d4-4ef7-839c-1aa3c65e141e,166815.469700001,-114024.335100001
76,Active,Owens Valley CC,BDU Owens Valley CC,OVY,CC,BDU,BDU,Inyo,STATE,B,P,2781 South Round Valley Road,Bishop,93514,760-387-2565,37.3901484612337,-118.552016765966,96fdeaaa-641f-431f-8f7a-f9691a7575d7,128016.769299999,-68636.3465999998
77,Active,Phelan FS,BDU Phelan FS,,FSB,BDU,BDU,San Bernardino,STATE,B,P,9600 Centola Rd,Phelan,92371,760-868-3555,34.4253921107877,-117.544875903539,02990ff7-79d6-4bbf-9a4a-e197709eae3a,225569.838,-396049.9056
78,Active,Pilot Rock Fire Center,BDU Pilot Rock,,FCFFC,BDU,BDU,San Bernardino,STATE,B,P,23496 N Miller Canyon Rd,Silverwood Lake,92345,909-338-2812,34.2715118985521,-117.282246894633,437eab21-a858-4f6e-8458-28c4913c9c71,250182.436099999,-412459.7025
79,Active,Prado CC,BDU Prado CC,,CC,BDU,BDU,San Bernardino,STATE,B,P,14467 Central Ave,Chino,91710,909-597-2911,33.9904904389215,-117.687121161128,8325330d-952b-4151-b106-0bcbabf75618,213680.469999999,-444615.2535
80,Active,Prado HB,H305,,HB,BDU,BDU,San Bernardino,STATE,B,P,14467 Central Ave,Chino,91710,909-597-2911,33.9888870170915,-117.687229680437,135b861c-c52a-4b7a-b62b-b9e2859c72d6,213674.784400001,-444793.2985
81,Active,Running Springs,RSP,51,FSB,BDU,BDU,San Bernardino,DISTRICT OTHER,B,P,312250 Hilltop Blvd. ,Running Springs,92382,909-867-2680,34.2145854387806,-117.121222734701,5e121686-076e-4afa-8262-b909d51488c0,265191.6461,-418335.3978
82,Active,San Bernardino ECC,BDU San Bernardino ECC,Berdo,ECC,BDU,BDU,San Bernardino,STATE,B,P,3800 N. Sierra Way,San Bernardino,92405,909-881-6916,34.1614748465275,-117.285245073419,203d0846-50a8-4f28-85e1-c372aae46c50,250256.0458,-424671.0298
83,Decommissioned,San Bernardino FLS,SFM,,SFM,BDU,BDU,San Bernardino,STATE,,,3800 N Sierra Way,San Bernardino,92405,,34.1601277287827,-117.28529781233,6593b065-ebbc-446b-b07a-d58056c1d064,250255.479899999,-424821.1053
84,Active,San Bernardino HQ,BDU San Bernardino UH,BERDO,HQ,BDU,BDU,San Bernardino,STATE,B,P,3800 N. Sierra Way,San Bernardino,92405,909-881-6900,34.1598918925831,-117.285235481581,5c6a5b3d-0385-4d54-ad8a-71a0d9188b41,250261.957699999,-424846.5482
85,Active,Silver Peak COM,BDU Silver Peak COM,"BDU3 Tone 12, CMD1 Tone 2",COM,BDU,BDU,Inyo,STATE,B,P,,Bishop,,,37.4112899577199,-118.186168413436,36a68168-c03f-45b4-9495-201b2d0c994e,160312.7729,-65730.2304999996
86,Active,Sky Forest FS,SKY,11,FSB,BDU,BDU,San Bernardino,FEDERAL,B,P,28104 State 18 Highway,Sky Forest,92385,909-337-8194,34.2327649832949,-117.186068762711,ad60fdf1-7ad8-4f9d-9c45-c8ac8ca055c0,259159.9778,-416498.6214
87,Active,Sterling FS 543,HIG 543,Sterling,FSA,BDU,BDU,San Bernardino,CITY,A,P,7649 Sterling Ave,Highland,92410,909-884-4100,34.114755088282,-117.243517827242,146d55c1-0552-42ba-8aa4-d0277727a672,254252.194699999,-429740.8975
88,Active,Strawberry Peak COM,BDU Strawberry Peak COM,"BDU1 Tone 2, CMD1,2,3 Tone 5, CESRS Tone 2",COM,BDU,BDU,San Bernardino,STATE,B,,,Arrowhead,,,34.2321087869164,-117.234325951655,c3b522bc-9e70-4615-92fe-8da5578b22bf,254720.046599999,-416702.1439
89,Active,Yucaipa FS,BDU Yucaipa FS,,FSAB,BDU,BDU,San Bernardino,STATE,C,P,11416 Bryant Street,Yucaipa,92399,909-797-1000,34.0464515502499,-117.034737366464,eabadcdb-5315-43c4-a080-0e0047be3da5,273740.469700001,-436733.1606
90,Active,Yucca Valley COM Tone 4,BDU Yucca Valley COM,"Yucca Hill. BDU2 Tone 4, CMD2 Tone 7",COM,BDU,BDU,San Bernardino,STATE,B,P,Fox Trail X Elk Trail,Yucca Valley,92284,,34.0764776384718,-116.448869502898,67e3a1f5-68e8-4dce-b19c-28f8baa30b71,327677.142299999,-431546.0897
91,Active,Yucca Valley FS,BDU Yucca Valley FS,,FSB,BDU,BDU,San Bernardino,STATE,B,P,7105 Airway Avenue,Yucca Valley,92284,760-365-4411,34.1236057430608,-116.409543523578,31828607-30d5-4a27-9ba8-7bccc007d8b9,331106.225299999,-426185.0331
92,Active,Antelope FS,BEU Antelope FS,#51,FSB,BEU,BEU,San Benito,STATE,B,P,20400 Panoche Road,Paicines,95043-9706,831-628-3269,36.6436984012951,-121.029162484131,17639b43-3719-4e28-aea2-59545bb1f463,-91889.115699999,-152085.877800001
93,Active,Aromas FS,BEU Aromas FS,#70,FSAB,BEU,BEU,Monterey,FIRE DISTRICT,C,P,492 Carpenteria Rd,Aromas,95004-9613,831-726-3130,36.8794956306809,-121.640972200703,5acda23e-676b-43e9-9bb9-5bb1b9679c23,-146057.3981,-125112.6976
94,Active,Arroyo Seco FS,BEU Arroyo Saco FS,#32,FSA,BEU,BEU,Monterey,FIRE DISTRICT,A,V,46700 Arroyo Seco Rd,Greenfield,93927,831-674-2326,36.2463885634268,-121.432904968231,4e78f230-9d31-43f9-b1a6-a4dad2e6b47d,-128603.943799999,-195766.7073
95,Active,Bear Valley FS,BEU Bear Valley FS,#60,FSB,BEU,BEU,San Benito,STATE,B,P,25820 Airline Hwy,Paicines,95043-9702,831-389-4591,36.5712894277265,-121.185898332524,2d31371e-e9cb-4d22-b286-16c474b6d448,-105983.477699999,-159969.291300001
96,Active,Beaver Dam FS,BEU Beaver Dam FS,#61,FSB,BEU,BEU,San Benito,STATE,B,P,5300 Hernandez-Coalinga Road,Paicines,95023-9705,831-385-5722,36.3901356278744,-120.934803501084,338ccbc9-6a33-491a-a827-b561ea9575f7,-83742.2703000009,-180351.6602
97,Active,Bradley FS,BEU Bradley FS,#40,FSB,BEU,BEU,Monterey,STATE,B,P,65789 Bradley Road,Bradley,93426-0028,805-472-2244,35.8637898224478,-120.803175200347,d0280f01-7ed7-4d41-acad-e623b84a5bff,-72446.2402999997,-238942.7363
98,Active,Calandra COM/LO,BEU Calandra COM/LO,,COM,BEU,BEU,Monterey,STATE,B,P,6 Mi E Of Lockwood Fs,,,,35.9516532654076,-121.001635872255,c19a9c81-79ee-437e-b8b2-8bf03d56ec82,-90243.9048000015,-229011.0692
99,Active,Call Mountain COM/LO,BEU Call Mountain COM/LO,,COM/LO,BEU,BEU,San Benito,STATE,B,P,2.7 Mi Sw Of Antelope Fs,,,,36.6191466746827,-121.068733314949,a6f4dbb3-d1b9-45b8-87de-3e23c5c4c1dc,-95452.8658999987,-154775.313899999
100,Active,Carmel Highlands FS,BEU Carmel Highlands FS,#21,FSA,BEU,BEU,Monterey,FIRE DISTRICT,A,P,73 Fern Cyn Rd,Carmel,93923,831-624-2374,36.5046131669609,-121.936353758903,de7c6f68-91df-43ae-8db9-4aa8a7cc4f08,-173196.051200001,-166273.6039
101,Active,Carmel Hill FFS,BEU Carmel Hill FS,#28,FSAB,BEU,BEU,Monterey,STATE,C,P,4180 17 Mile Drive,Pebble Beach,93953-9562,831-625-6415,36.5738221029941,-121.914059855632,5ac26727-9a54-4f65-9f03-e7f5c08325f7,-171046.9716,-158624.000800001
